REG,URB,HHID,RESP_LNO,Q5_TECHVOC,Q5_TECHVOC_COURSE,Q5_SPECIFY_COURSE,Q6_TESDA_CERT,Q15A_ARTS,Q15B_SCIENCE,Q15C_BUSINESS,Q20_ACTIVITY,Q21_KNOWLEDGE,C5_AGE_RT04,C12_HEA_RT04,C4_SEX_RT04,C14_ATTEND_SCHOOL_RT04
1,2,1381,3,2,,,2,5,5,5,1,1,20,60003,1,1
1,2,1381,4,2,,,2,5,5,5,1,1,18,34011,1,1
2,2,2073,4,2,,,2,5,5,5,1,1,28,60111,2,4
3,1,3993,2,2,,,2,5,5,5,1,1,21,24015,2,4
3,1,4106,2,2,,,2,5,5,5,1,1,25,24015,1,4
3,1,4690,1,2,,,2,5,5,5,1,1,29,60714,1,4
3,1,5743,4,2,,,2,5,5,5,1,1,23,60111,1,4
5,2,11371,3,2,,,2,5,5,5,1,1,18,34013,2,1
6,1,15409,2,2,,,2,5,5,5,1,1,24,24011,1,4
6,1,16087,4,2,,,2,5,5,5,1,1,23,60612,1,4
7,1,17828,2,2,,,2,5,5,5,1,1,29,24015,2,4
7,1,18419,2,2,,,2,5,5,5,1,1,27,24015,1,4
7,1,18498,2,2,,,1,5,5,5,1,1,29,24015,2,4
7,1,18729,1,1,40322,TAILORING,1,5,5,5,1,1,26,24015,1,4
7,2,19829,3,2,,,2,5,5,5,1,1,16,10014,1,4
7,2,19829,2,2,,,1,5,5,5,1,1,24,10014,1,4
8,2,21729,3,2,,,2,5,5,5,1,1,26,61013,2,4
8,2,21729,4,2,,,2,5,5,5,1,1,25,60700,1,4
8,2,21729,5,2,,,2,5,5,5,1,1,23,60413,2,4
8,2,21871,4,2,,,2,5,5,5,1,1,30,60111,1,4
9,1,24059,3,2,,,2,5,5,5,1,1,22,24015,1,4
10,1,26518,3,1,40811,ORGANIC AGRICULTURE PROD,1,5,5,5,1,1,20,60711,1,4
11,1,29464,3,1,40732,TESDA MASONRY NCII,1,5,5,5,1,1,28,24015,1,4
11,1,29659,1,2,,,2,5,5,5,1,1,29,10015,1,4
11,1,29659,2,2,,,2,5,5,5,1,1,26,24015,2,4
13,1,34922,1,2,,,2,5,5,5,2,1,25,60413,1,4
13,1,35580,1,2,,,2,5,5,5,1,1,23,60414,1,4
13,1,38045,1,2,,,2,5,5,5,1,1,23,60611,1,4
13,1,40072,1,2,,,2,5,5,5,1,1,28,24015,1,4
13,1,42356,2,2,,,1,5,5,5,1,1,30,60003,1,2
14,2,45856,3,2,,,2,5,5,5,1,1,16,24015,1,4
17,2,51932,2,2,,,2,5,5,5,1,1,25,60811,1,4
2,2,2053,3,2,,,2,4,5,5,2,1,24,60413,2,4
